358	12,4	719	24,8	200,84	0,59
2.119	17,2	1.938	15,7	91,46	0,49
497	18,2	522	19,1	105,03	0,60
65.319	19,5	47.614	14,2	72,89	0,51
40.175	23,9	15.608	9,3	38,85	0,50
31.173	21,3	14.741	10,1	47,29	0,46
403	15,0	562	20,9	139,45	0,56
1.102	16,5	1.323	19,9	120,05	0,57
7.647	17,9	7.480	17,5	97,82	0,55
887	19,2	686	14,9	77,34	0,52
906	19,9	565	12,4	62,36	0,48
1.742	16,3	1.984	18,6	113,89	0,54
1.837	17,0	1.673	15,5	91,07	0,48
901	19,2	800	17,0	88,79	0,57
2.335	20,2	1.550	13,4	66,38	0,51
1.123	20,4	869	15,8	77,38	0,57
6.941	18,0	5.865	15,2	84,50	0,50
3.366	16,8	3.009	15,0	89,39	0,47
3.921	22,1	2.585	14,6	65,93	0,58
4.494	21,9	2.756	13,4	61,33	0,55
1.438	17,1	1.682	20,0	116,97	0,59
2.170	20,3	1.536	14,4	70,78	0,53
329	17,0	381	19,7	115,81	0,58
1.331	20,6	949	14,7	71,30	0,55
5.754	18,2	5.342	16,9	92,84	0,54
5.817	20,5	3.783	13,4	65,03	0,51
21.573	18,5	18.303	15,7	84,84	0,52
2.415	15,7	1.770	11,5	73,29	0,37
7.980	21,0	4.268	11,2	53,48	0,48
66.146	21,4	36.156	11,7	54,66	0,50
283.846	21,6	140.991	10,7	49,67	0,48
1.497	20,5	1.063	14,6	71,01	0,54
957	19,1	799	16,0	83,49	0,54
1.794	19,7	1.348	14,8	75,14	0,53
2.766	20,3	1.576	11,6	56,98	0,47
43.385	19,8	21.949	10,0	50,59	0,43
2.006	18,3	1.682	15,4	83,85	0,51
1.158	18,3	1.176	18,6	101,55	0,59
1.195	17,8	756	11,2	63,26	0,41
7.074	21,1	3.615	10,8	51,10	0,47
2.075	17,7	2.038	17,4	98,22	0,54
1.407	19,3	1.076	14,8	76,47	0,52
10.239	18,0	8.364	14,7	81,69	0,48
15.627	20,9	9.976	13,3	63,84	0,52
1.635	20,8	1.069	13,6	65,38	0,52
1.479	18,9	1.360	17,4	91,95	0,57
4.680	19,6	3.010	12,6	64,32	0,47
5.463	18,8	4.484	15,4	82,08	0,52
1.890	20,6	1.395	15,2	73,81	0,56
5.937	20,3	5.088	17,4	85,70	0,61
1.955	19,7	2.011	20,3	102,86	0,67
4.073	15,9	4.725	18,5	116,01	0,52
7.006	21,9	3.253	10,2	46,43	0,47
42.946	18,5	29.520	12,7	68,74	0,45
828	17,3	831	17,3	100,36	0,53
642	16,6	859	22,2	133,80	0,64
671	17,6	632	16,6	94,19	0,52
2.896	20,3	2.087	14,6	72,06	0,54
6.543	20,1	3.441	10,5	52,59	0,44
1.443	20,4	842	11,9	58,35	0,48
859	17,1	866	17,3	100,81	0,52
1.011	23,2	596	13,7	58,95	0,58
3.181	20,7	1.816	11,8	57,09	0,48
4.221	18,6	2.844	12,6	67,38	0,45
1.366	18,0	1.212	15,9	88,73	0,51
975	13,1	1.400	18,8	143,59	0,47
3.568	20,2	2.711	15,4	75,98	0,55
5.261	20,4	3.192	12,4	60,67	0,49
2.192	15,0	2.971	20,3	135,54	0,55
627	17,7	575	16,2	91,71	0,51
