26	39
56	114
124	122
77	33
45	30
44	61
36	185
111	71
52	70
41	85
119	254
185	403
165	101
13	19
2.090	1.434
19	29
4.237	2.757
1.096	1.935
839	1.244
1.177	1.324
485	639
35	30
161	220
137	226
60	107
24	79
2.760	2.681
414	481
302	231
701	656
111	198
138	84
33	70
45	70
1.300	1.047
263	195
201	512
42	62
957	764
1.450	1.520
31	158
273	287
332	184
604	752
48	30
672	542
341	386
283	210
804	869
27	48
78	102
11	41
288	326
18	41
10	4
2.061	2.044
108	245
479	431
580	386
137	76
158	349
30	64
33	51
735	859
326	573
2.297	1.908
49	63
599	638
577	587
2	23
179	171
153	254
8	15
55	133
18	65
42	47
4	18
79	166
52	102
9	50
25	62
267	281
809	460
42	80
14	22
55	135
10	19
16	33
2.561	2.356
10	29
270	433
660	592
3.508	2.729
52	38
23	40
13	9
122	326
91	89
37	31
451	410
223	331
83	209
574	510
32	54
492	769
3.741	3.368
616	957
619	652
22	37
11	52
1.134	580
32	31
433	408
342	224
162	197
19	84
496	429
135	66
131	319
93	85
8	18
32	49
23	35
34	42
100	59
120	143
93	105
93	303
17	51
45	47
27	76
4	16
0	2
31	48
165	214
5	45
17	36
17	50
383	184
18	35
478	419
23	89
48	72
10	19
502	492
19	26
49	74
29	23
187	343
5.769	4.430
28	29
281	307
952	1.146
38	153
74	151
87	129
73	110
27	76
64	146
196	232
117	228
235	472
357	259
29	31
82	281
27	55
105	149
52	60
240	277
27	25
66	167
41	79
462	310
6	14
108	145
278	396
29	72
10	35
86	201
197	187
8	36
205	159
421	648
277	363
41	64
1.586	931
18	83
493	520
209	289
1.574	1.655
107	129
86	90
7	39
80	86
257	203
2.424	2.358
179	441
261	308
73	67
96	87
204	241
371	564
86	105
202	315
14	55
26	47
732	726
30	46
197	170
50	48
208	335
9	43
30	31
23	66
71	102
383	376
364	472
87	105
156	122
8	12
144	172
3.173	2.151
42	43
24	20
41	101
220	452
1.670	1.443
230	379
255	385
5	11
55	110
25	42
110	90
55	69
38	40
228	399
91	61
113	204
36	47
978	848
25	67
13	15
48	105
134	286
27	72
89	94
2	13
54	58
1.566	828
5.497	5.056
41	43
119	137
80	115
1.753	968
158	163
298	284
92	168
41	85
133	166
65	124
14	31
15	27
38	54
10	29
51	63
55	90
202	192
32	75
24	16
843	697
276	309
121	151
18	24
67	86
47	95
1.027	958
128	155
10	64
48	19
7	12
118	220
277	506
35	37
215	566
184	97
769	445
31	60
25	55
18	36
169	259
16	41
193	290
6	6
1	20
1.093	815
93	228
4.739	3.240
50	68
174	227
50	53
58	80
105	75
16	21
19	33
2.515	1.998
172	163
5.998	5.102
1.826	1.069
1.257	1.529
22	39
540	608
7	45
5	5
5	29
217	585
85	148
108	64
287	505
5.076	3.017
4.743	4.183
335	190
308	144
228	402
266	444
121.822	75.782
357	315
48	104
601	691
740	711
82	116
86	178
2.312	2.322
102	190
32	84
22	23
62	122
228	192
279	403
983	1.031
361	247
62	142
45	62
275	384
2.886	3.350
45	62
2.151	1.745
21	28
2.636	2.496
75	106
69	91
3.389	2.503
21	57
54	120
46	60
43	49
121	142
518	497
67	71
67	98
4	21
446	582
231	511
14	33
44	57
69	109
549	924
2.482	2.185
10	31
124	199
34	43
224	189
16	55
19	33
115	68
3	8
248	191
29	76
26	25
732	939
67	196
9	24
5	16
41	32
1.336	898
25	39
108	115
12	19
89	179
8	13
132	141
68	126
647	550
123	287
63	59
248	333
472	353
1.012	857
128	145
279	161
94	115
44	39
2	14
498	584
947	1.156
2	15
