15	35	194	7	25	149	6	22	159
19	36	93	9	26	71	8	23	76
9	27	42	4	19	32	4	17	35
5	3	29	2	2	22	2	2	24
84	153	205	42	108	157	36	97	168
125	165	793	62	117	609	54	105	652
48	75	157	24	53	121	21	48	129
4	14	36	2	10	28	2	9	30
25	108	185	12	77	142	11	68	152
0	7	43	0	5	33	0	4	35
5	18	32	2	13	25	2	11	26
433	619	1813	216	438	1392	187	393	1490
0	5	22	0	4	17	0	3	18
42	124	254	21	88	195	18	79	209
56	115	483	28	81	371	24	73	397
605	1298	3465	302	920	2661	262	823	2848
10	36	38	5	26	29	4	23	31
6	25	42	3	18	32	3	16	35
2	7	29	1	5	22	1	4	24
20	145	164	10	103	126	9	92	135
19	71	219	9	50	168	8	45	180
36	96	179	18	68	137	16	61	147
3	23	17	1	16	13	1	15	14
38	79	215	19	56	165	16	50	177
125	163	212	62	115	163	54	103	174
149	142	621	74	101	477	64	90	510
8	23	27	4	16	21	3	15	22
69	127	591	34	90	454	30	81	486
658	988	3207	328	700	2463	285	626	2636
208	359	1492	104	254	1146	90	228	1226
102	211	694	51	149	533	44	134	570
0	20	28	0	14	22	0	13	23
2	4	25	1	3	19	1	3	21
38	121	330	19	86	253	16	77	271
21	25	89	10	18	68	9	16	73
78	176	484	39	125	372	34	112	398
41	35	281	20	25	216	18	22	231
40	89	283	20	63	217	17	56	233
21	31	59	10	22	45	9	20	48
36	18	40	18	13	31	16	11	33
130	174	501	65	123	385	56	110	412
36	136	325	18	96	250	16	86	267
36	70	186	18	50	143	16	44	153
11	2	31	5	1	24	5	1	25
23	22	49	11	16	38	10	14	40
6	0	13	3	0	10	3	0	11
6	20	53	3	14	41	3	13	44
15	16	49	7	11	38	6	10	40
38	25	145	19	18	111	16	16	119
3	26	83	1	18	64	1	16	68
10	41	104	5	29	80	4	26	85
7	9	30	3	6	23	3	6	25
0	22	60	0	16	46	0	14	49
0	33	71	0	23	55	0	21	58
6	18	31	3	13	24	3	11	25
2	3	19	1	2	15	1	2	16
9	24	140	4	17	108	4	15	115
40	84	240	20	60	184	17	53	197
7	6	25	3	4	19	3	4	21
0	8	23	0	6	18	0	5	19
