11	10	13	8	9	6	3	4	2	8	6	3	5	3	6	1	1	1	1	1	1	0	0	0	198	380	98	16	90	56	2932	4.143	4.038	313	314	317	277	283	300
8	7	12	1	2	2	1	3	2	2	0	0	2	1	1	2	2	2	0	0	0	0	0	0	100	149	154	-1	-1	-1	2463	2.553	2.458	139	149	161	99	104	117
4	4	4	2	2	2	1	2	1	1	1	0	1	0	1	1	1	1	0	0	0	0	0	0	82	87	40	-1	-1	-1	1122	847	776	5	6	5	21	26	33
1	3	1	2	2	2	0	0	0	0	2	0	0	0	-1	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	145	139	120	2	3	5	12	13	13
5	5	6	3	3	4	0	0	0	1	1	2	1	1	1	1	1	1	0	0	0	0	0	0	131	101	83	-1	-1	-1	463	390	377	22	25	14	26	25	27
7	9	6	3	3	2	2	2	1	3	3	1	1	0	1	1	1	1	0	0	0	0	0	0	164	199	217	-1	-1	-1	2553	1.939	1.777	89	85	82	97	99	94
3	7	7	2	2	2	0	0	0	0	2	3	0	0	1	1	1	1	0	0	0	0	0	0	4	7	30	-1	-1	-1	417	383	407	12	12	12	9	8	8
54	52	52	10	10	11	5	5	3	16	15	12	28	29	26	5	5	5	1	1	1	0	0	0	251	78	91	360	227	231	10659	10.307	9.518	572	618	660	1.270	1.302	1.318
11	15	10	7	9	8	8	8	7	1	1	1	4	5	6	4	4	4	1	1	1	0	1	1	15	27	39	90	139	156	13409	13.275	12.570	1.399	1.531	1.712	1.270	1.381	1.474
5	5	5	2	2	2	0	0	0	0	0	0	0	0	-1	1	1	1	0	0	0	0	0	0	236	320	371	-1	-1	-1	951	732	681	18	20	22	36	36	37
4	4	4	2	2	2	0	0	0	0	0	0	0	0	-1	1	1	1	0	0	0	0	0	0	322	196	127	-1	-1	-1	714	571	541	14	15	12	33	34	33
10	10	9	6	6	4	2	2	2	5	5	2	3	3	2	1	1	1	1	1	1	0	0	0	506	594	642	54	72	84	2246	2.025	1.763	168	173	192	149	170	193
10	11	13	3	3	3	3	3	2	3	4	4	4	5	3	1	1	1	1	1	1	0	0	0	168	219	249	30	41	81	2307	2.037	1.850	211	214	210	141	148	153
3	4	5	3	3	3	2	2	2	1	2	2	3	1	3	0	0	1	0	0	0	0	0	0	-1	-1	80	-1	-1	-1	3329	3.044	2.842	160	169	175	139	166	199
4	4	4	2	2	2	2	2	2	0	0	0	3	4	3	1	1	1	0	0	0	0	0	0	198	231	240	-1	-1	-1	2709	2.052	1.930	77	80	90	328	334	357
5	5	5	3	3	3	0	0	0	0	0	0	1	1	-1	1	1	1	0	0	0	0	0	0	94	84	30	-1	-1	-1	601	573	530	24	21	23	45	51	52
7	10	7	3	3	2	2	2	2	2	1	2	2	2	2	1	1	1	0	0	0	0	0	0	23	5	18	-1	-1	-1	953	900	820	42	35	33	35	36	41
25	10	23	5	4	5	3	1	2	13	0	7	1	1	1	2	2	2	0	1	1	0	0	0	290	169	45	-1	34	58	2520	2.533	2.310	362	393	387	281	291	303
