46.183	1.640,23	28,13	0,02	-588	15,51	23,05	12,79	13.600	83,21	95,93
17.502	169,89	110,05	1,66	152	13,81	22,22	11,32	5.240	84,50	66,65
48.512	322,88	157,48	1,18	277	13,65	21,19	11,62	13.988	96,32	89,77
100.634	485,1	221,13	1,61	1.284	14,81	21,70	12,42	31.934	96,05	57,94
369.368	34,55	11.010,54	0,74	-2.639	18,21	23,06	9,90	108.592	100	81,19
11.803	639,73	18,41	0,06	-29	12,05	17,98	18,56	4.134	91,38	87,11
28.294	864,18	33,30	0,43	27	10,57	18,46	15,12	8.368	82,22	98,93
2.636	191,68	13,40	0,64	-36	8,89	18,84	17,13	837	71,82	93,73
17.975	1.065,80	17,94	1,55	165	14,82	20,19	13,88	5.551	75,47	93,04
112.760	290,6	394,97	0,44	240	11,88	16,92	16,34	37.296	99,20	98,56
7.122	148,39	49,20	0,62	11	12,54	18,78	13,66	2.239	92,63	96,50
7.960	197,69	42,17	1,16	101	9,95	16,84	17,92	2.615	80,75	96,30
17.511	511,62	35,60	0,99	107	13,97	21,14	14,14	5.532	90,76	97,58
39.520	127,8	333,02	1,87	736	12,42	18,73	12,82	12.192	94,83	98,03
15.516	190,77	85,50	1,26	147	14,46	20,05	12,80	4.469	67,52	92,02
15.067	175,85	90,09	1,26	90	12,65	20,61	12,37	4.413	91,04	89,10
12.115	188,1	64,63	0,09	-100	14,24	21,22	14,81	3.709	93,18	98,00
7.049	168,84	45,01	1,90	105	16,89	21,90	11,25	2.159	96,10	99,37
17.365	422,57	41,38	0,17	-49	13,69	18,87	14,53	5.313	94,35	98,17
5.994	729,25	8,25	0,10	-61	18,96	20,58	12,53	1.808	73,43	94,90
25.207	182,79	142,62	0,84	-33	16,40	22,03	11,32	7.149	95,60	97,10
16.276	466,02	35,68	0,54	4	11,79	21,11	15,64	5.209	82,88	92,63
21.048	137,58	163,23	1,63	175	13,98	20,08	12,39	6.413	89,82	99,05
5.231	246,36	22,49	1,45	52	14,83	18,43	14,04	1.697	83,03	98,20
5.006	303,93	16,18	0,45	-90	9,52	20,85	15,01	1.627	79,26	97,08
3.873	278,62	14,03	0,24	-13	16,67	19,90	14,50	1.213	57,47	96,75
58.689	154,66	413,44	2,17	926	13,88	21,19	10,34	17.768	92,87	94,67
